Time(s)	H2 (2.2)	H2O (18.2)	N2 (28.2)	CO2 (44.2)	Oil? (78.0)
0	2.88E-09	3.37E-08	4.76E-09	7.59E-09	6.33E-11
1246	2.25E-09	2.77E-08	3.30E-09	4.54E-09	-1.32E-10
2491	1.83E-09	2.68E-08	2.75E-09	3.52E-09	1.55E-11
3737	1.50E-09	2.63E-08	2.48E-09	2.97E-09	1.64E-11
4983	1.37E-09	2.54E-08	2.21E-09	2.71E-09	-1.14E-10
6228	1.32E-09	2.47E-08	2.05E-09	2.39E-09	8.52E-12
7474	1.15E-09	2.68E-08	1.97E-09	2.18E-09	-6.39E-11
8719	1.13E-09	3.47E-08	1.98E-09	2.38E-09	-4.94E-11
9965	1.36E-09	5.15E-08	2.13E-09	2.98E-09	-3.72E-12
11210	1.61E-09	7.84E-08	2.57E-09	3.87E-09	-1.56E-11
12456	2.09E-09	1.17E-07	3.28E-09	5.46E-09	-1.82E-11
13701	2.67E-09	1.66E-07	4.16E-09	7.52E-09	-4.98E-11
14947	3.54E-09	2.20E-07	5.42E-09	9.92E-09	-6.89E-11
16192	4.40E-09	2.78E-07	7.13E-09	1.32E-08	1.32E-10
17438	5.43E-09	3.18E-07	8.41E-09	1.48E-08	6.36E-11
18684	6.54E-09	3.74E-07	9.92E-09	1.90E-08	5.38E-11
19929	7.74E-09	3.91E-07	1.18E-08	1.98E-08	7.44E-11
21175	9.16E-09	4.05E-07	1.29E-08	2.07E-08	4.66E-11
22420	1.10E-08	4.32E-07	1.45E-08	2.36E-08	1.09E-10
23666	1.38E-08	4.57E-07	1.65E-08	2.74E-08	1.31E-10
24912	1.92E-08	4.55E-07	1.77E-08	2.66E-08	2.01E-10
26157	2.90E-08	4.62E-07	1.98E-08	3.00E-08	2.03E-10
27402	4.37E-08	4.69E-07	2.21E-08	3.17E-08	2.12E-10
28648	6.39E-08	4.76E-07	2.48E-08	3.39E-08	2.90E-10
29893	9.06E-08	4.86E-07	2.74E-08	3.67E-08	3.35E-10
31139	1.26E-07	4.93E-07	2.97E-08	3.88E-08	3.07E-10
32385	1.70E-07	4.96E-07	3.17E-08	3.96E-08	3.58E-10
33630	2.25E-07	4.99E-07	3.39E-08	4.05E-08	4.58E-10
34876	3.01E-07	5.22E-07	3.78E-08	4.52E-08	4.17E-10
36121	3.96E-07	5.40E-07	4.14E-08	4.86E-08	4.60E-10
37367	5.08E-07	5.66E-07	4.62E-08	5.47E-08	5.70E-10
38613	6.22E-07	5.56E-07	4.68E-08	5.24E-08	5.89E-10
39858	7.77E-07	5.68E-07	4.94E-08	5.29E-08	5.64E-10
41103	9.66E-07	5.95E-07	5.48E-08	5.90E-08	6.62E-10
42349	1.17E-06	5.91E-07	5.53E-08	5.53E-08	7.10E-10
43595	1.46E-06	6.26E-07	6.29E-08	6.26E-08	7.52E-10
44840	1.79E-06	6.45E-07	6.82E-08	6.61E-08	8.32E-10
46086	2.13E-06	6.47E-07	7.00E-08	6.27E-08	9.12E-10
47331	2.64E-06	6.80E-07	8.00E-08	7.24E-08	1.02E-09
48577	3.18E-06	6.95E-07	8.48E-08	7.21E-08	1.29E-09
49823	3.80E-06	7.31E-07	9.72E-08	8.55E-08	1.32E-09
51069	4.49E-06	7.44E-07	1.01E-07	8.44E-08	1.48E-09
52314	5.31E-06	7.63E-07	1.07E-07	8.49E-08	1.69E-09
53560	6.29E-06	8.01E-07	1.19E-07	9.64E-08	1.98E-09
54806	7.31E-06	8.25E-07	1.28E-07	1.00E-07	2.11E-09
56052	8.34E-06	8.52E-07	1.40E-07	1.12E-07	2.38E-09
57297	9.41E-06	8.67E-07	1.48E-07	1.14E-07	2.78E-09
58543	1.06E-05	8.76E-07	1.57E-07	1.17E-07	3.09E-09
59788	1.17E-05	8.71E-07	1.65E-07	1.22E-07	3.47E-09
61034	1.30E-05	8.64E-07	1.73E-07	1.26E-07	3.97E-09
62280	1.43E-05	8.47E-07	1.78E-07	1.25E-07	4.46E-09
63525	1.56E-05	8.27E-07	1.87E-07	1.37E-07	5.05E-09
64771	1.69E-05	7.70E-07	1.78E-07	1.23E-07	5.65E-09
66017	1.86E-05	7.23E-07	1.86E-07	1.32E-07	6.29E-09
67264	2.02E-05	6.87E-07	1.99E-07	1.44E-07	7.05E-09
68509	2.19E-05	6.60E-07	2.07E-07	1.42E-07	8.06E-09
69754	2.36E-05	6.43E-07	2.20E-07	1.51E-07	9.00E-09
71000	2.53E-05	6.07E-07	2.13E-07	1.34E-07	1.07E-08
72246	2.69E-05	5.80E-07	2.15E-07	1.39E-07	1.21E-08
73492	2.85E-05	5.39E-07	2.02E-07	1.23E-07	1.39E-08
74737	3.01E-05	5.00E-07	1.90E-07	1.12E-07	1.57E-08
75983	3.16E-05	4.72E-07	1.87E-07	1.10E-07	1.75E-08
77229	3.32E-05	4.29E-07	1.74E-07	9.81E-08	1.84E-08
78475	3.48E-05	3.89E-07	1.66E-07	9.44E-08	1.86E-08
79721	3.59E-05	3.27E-07	1.44E-07	7.96E-08	1.69E-08
80966	3.57E-05	2.53E-07	1.16E-07	6.49E-08	1.36E-08
82212	3.55E-05	2.06E-07	9.77E-08	5.70E-08	1.11E-08
83457	3.48E-05	1.67E-07	8.02E-08	4.88E-08	8.78E-09
84703	3.39E-05	1.38E-07	6.53E-08	3.96E-08	7.29E-09
85949	3.32E-05	1.19E-07	5.64E-08	3.54E-08	6.14E-09
87194	3.26E-05	1.02E-07	4.83E-08	3.02E-08	5.19E-09
88440	3.18E-05	8.99E-08	4.20E-08	2.67E-08	4.42E-09
89685	3.09E-05	7.97E-08	3.73E-08	2.38E-08	3.93E-09
90932	3.02E-05	7.19E-08	3.36E-08	2.19E-08	3.55E-09
92177	2.95E-05	6.47E-08	2.98E-08	1.95E-08	3.09E-09
93423	2.89E-05	5.87E-08	2.65E-08	1.72E-08	2.82E-09
94669	2.82E-05	5.44E-08	2.45E-08	1.58E-08	2.53E-09
95915	2.76E-05	5.05E-08	2.27E-08	1.50E-08	2.37E-09
97161	2.70E-05	4.68E-08	2.08E-08	1.35E-08	2.16E-09
98406	2.65E-05	4.35E-08	1.90E-08	1.25E-08	2.02E-09
99652	2.58E-05	4.02E-08	1.77E-08	1.17E-08	1.90E-09
100897	2.52E-05	3.77E-08	1.66E-08	1.10E-08	1.86E-09
102143	2.50E-05	3.61E-08	1.59E-08	1.06E-08	1.69E-09
103389	2.43E-05	3.38E-08	1.49E-08	1.00E-08	1.59E-09
104634	2.40E-05	3.19E-08	1.41E-08	9.40E-09	1.52E-09
105880	2.35E-05	3.02E-08	1.34E-08	9.03E-09	1.45E-09
107126	2.32E-05	2.87E-08	1.31E-08	8.70E-09	1.48E-09
108372	2.28E-05	2.74E-08	1.25E-08	8.23E-09	1.30E-09
109618	2.24E-05	2.60E-08	1.18E-08	7.65E-09	1.29E-09
110864	2.21E-05	2.48E-08	1.13E-08	7.38E-09	1.27E-09
112109	2.18E-05	2.38E-08	1.11E-08	7.01E-09	1.17E-09
113355	2.14E-05	2.25E-08	1.05E-08	6.86E-09	1.09E-09
114601	2.12E-05	2.18E-08	1.03E-08	6.68E-09	1.14E-09
115846	2.09E-05	2.11E-08	9.99E-09	6.52E-09	1.10E-09
117092	2.04E-05	2.05E-08	9.75E-09	6.41E-09	1.01E-09
118338	2.02E-05	1.96E-08	9.34E-09	6.04E-09	1.04E-09
119585	2.00E-05	1.90E-08	9.33E-09	6.11E-09	1.06E-09
120830	1.98E-05	1.85E-08	8.97E-09	5.74E-09	9.91E-10
122075	1.95E-05	1.77E-08	8.60E-09	5.63E-09	8.91E-10
123321	1.93E-05	1.72E-08	8.37E-09	5.39E-09	9.00E-10
124567	1.91E-05	1.66E-08	8.22E-09	5.26E-09	8.84E-10
125813	1.89E-05	1.62E-08	7.94E-09	5.13E-09	8.57E-10
127059	1.85E-05	1.57E-08	7.75E-09	4.89E-09	8.44E-10
128304	1.84E-05	1.53E-08	7.58E-09	4.84E-09	8.30E-10
129550	1.81E-05	1.49E-08	7.34E-09	4.66E-09	8.56E-10
130796	1.80E-05	1.46E-08	7.28E-09	4.55E-09	7.07E-10
132042	1.78E-05	1.42E-08	6.93E-09	4.34E-09	7.57E-10
133288	1.76E-05	1.39E-08	6.92E-09	4.42E-09	7.57E-10
134533	1.75E-05	1.36E-08	6.83E-09	4.37E-09	7.45E-10
135779	1.73E-05	1.34E-08	6.61E-09	4.21E-09	7.25E-10
137025	1.71E-05	1.31E-08	6.43E-09	4.02E-09	6.87E-10
138270	1.69E-05	1.29E-08	6.46E-09	4.05E-09	7.52E-10
139516	1.67E-05	1.26E-08	6.24E-09	3.94E-09	7.38E-10
140762	1.65E-05	1.23E-08	5.97E-09	3.57E-09	5.97E-10
142008	1.64E-05	1.22E-08	5.88E-09	3.70E-09	6.21E-10
143253	1.62E-05	1.20E-08	5.97E-09	3.77E-09	7.62E-10
144499	1.62E-05	1.17E-08	5.83E-09	3.61E-09	6.62E-10
145745	1.59E-05	1.15E-08	5.56E-09	3.43E-09	5.78E-10
146990	1.59E-05	1.13E-08	5.54E-09	3.35E-09	5.58E-10
148236	1.55E-05	1.12E-08	5.59E-09	3.53E-09	5.94E-10
149483	1.56E-05	1.09E-08	5.39E-09	3.24E-09	6.16E-10
150729	1.55E-05	1.07E-08	5.27E-09	3.21E-09	5.52E-10
151974	1.53E-05	1.04E-08	5.22E-09	3.08E-09	5.85E-10
153220	1.52E-05	1.02E-08	5.00E-09	2.98E-09	6.14E-10
154467	1.50E-05	1.01E-08	5.10E-09	2.94E-09	6.27E-10
155712	1.50E-05	9.96E-09	4.97E-09	2.92E-09	5.93E-10
156958	1.49E-05	9.72E-09	4.90E-09	2.91E-09	5.41E-10
158203	1.48E-05	9.70E-09	4.75E-09	2.90E-09	5.48E-10
159449	1.47E-05	9.57E-09	4.77E-09	2.76E-09	5.58E-10
160695	1.46E-05	9.32E-09	4.63E-09	2.73E-09	4.92E-10
161940	1.44E-05	9.13E-09	4.57E-09	2.69E-09	4.88E-10
163186	1.43E-05	9.05E-09	4.48E-09	2.74E-09	4.91E-10
164431	1.43E-05	8.94E-09	4.57E-09	2.69E-09	5.56E-10
165677	1.43E-05	8.92E-09	4.48E-09	2.66E-09	4.96E-10
166923	1.41E-05	8.75E-09	4.38E-09	2.59E-09	5.32E-10
168169	1.40E-05	8.63E-09	4.33E-09	2.54E-09	5.15E-10
169415	1.39E-05	8.69E-09	4.37E-09	2.63E-09	4.94E-10
170661	1.39E-05	8.55E-09	4.29E-09	2.47E-09	4.81E-10
171907	1.38E-05	8.52E-09	4.32E-09	2.60E-09	5.38E-10
173152	1.37E-05	8.44E-09	4.13E-09	2.42E-09	4.15E-10
174398	1.36E-05	8.36E-09	4.01E-09	2.44E-09	4.63E-10
175644	1.35E-05	8.22E-09	4.02E-09	2.41E-09	4.91E-10
176889	1.34E-05	8.14E-09	3.99E-09	2.36E-09	4.51E-10
178135	1.34E-05	8.03E-09	3.98E-09	2.35E-09	4.71E-10
179381	1.33E-05	7.87E-09	3.86E-09	2.27E-09	4.34E-10
180627	1.32E-05	7.87E-09	3.84E-09	2.25E-09	4.91E-10
181872	1.31E-05	7.83E-09	3.83E-09	2.32E-09	4.75E-10
183118	1.30E-05	7.71E-09	3.74E-09	2.22E-09	4.48E-10
184364	1.29E-05	7.66E-09	3.71E-09	2.23E-09	4.57E-10
185610	1.29E-05	7.66E-09	3.64E-09	2.12E-09	3.98E-10
186856	1.28E-05	7.41E-09	3.54E-09	2.07E-09	3.69E-10
188101	1.26E-05	7.45E-09	3.52E-09	2.05E-09	4.57E-10
189346	1.26E-05	7.38E-09	3.52E-09	2.04E-09	3.70E-10
190593	1.26E-05	7.33E-09	3.46E-09	2.02E-09	4.12E-10
191838	1.24E-05	7.26E-09	3.46E-09	2.01E-09	4.43E-10
193084	1.24E-05	7.21E-09	3.43E-09	2.04E-09	4.03E-10
194330	1.23E-05	7.15E-09	3.45E-09	2.06E-09	3.73E-10
195576	1.23E-05	7.16E-09	3.39E-09	2.06E-09	3.73E-10
196822	1.22E-05	7.04E-09	3.35E-09	1.98E-09	4.14E-10
198068	1.21E-05	6.98E-09	3.37E-09	2.01E-09	4.00E-10
199313	1.21E-05	6.94E-09	3.33E-09	1.92E-09	4.02E-10
200560	1.20E-05	6.83E-09	3.25E-09	1.82E-09	4.02E-10
201806	1.20E-05	6.78E-09	3.25E-09	1.88E-09	3.87E-10
203052	1.19E-05	6.74E-09	3.16E-09	1.82E-09	3.83E-10
204298	1.19E-05	6.72E-09	3.12E-09	1.84E-09	4.26E-10
205543	1.18E-05	6.76E-09	3.20E-09	1.91E-09	3.44E-10
206789	1.17E-05	6.63E-09	3.12E-09	1.79E-09	3.98E-10
208035	1.17E-05	6.58E-09	3.12E-09	1.79E-09	3.04E-10
209281	1.16E-05	6.52E-09	3.02E-09	1.76E-09	3.58E-10
210527	1.15E-05	6.48E-09	3.04E-09	1.81E-09	3.51E-10
211772	1.15E-05	6.41E-09	3.00E-09	1.87E-09	2.92E-10
213018	1.14E-05	6.46E-09	3.11E-09	1.84E-09	3.53E-10
214265	1.14E-05	6.37E-09	3.02E-09	1.79E-09	3.07E-10
215511	1.13E-05	6.37E-09	3.06E-09	1.81E-09	3.33E-10
216758	1.12E-05	6.26E-09	3.03E-09	1.87E-09	3.34E-10
218004	1.11E-05	6.23E-09	2.95E-09	1.74E-09	2.78E-10
219250	1.11E-05	6.26E-09	2.96E-09	1.88E-09	3.34E-10
220495	1.11E-05	6.26E-09	2.94E-09	1.74E-09	3.09E-10
221740	1.10E-05	6.09E-09	2.85E-09	1.75E-09	3.71E-10
222985	1.09E-05	6.08E-09	2.81E-09	1.68E-09	3.01E-10
224232	1.09E-05	6.11E-09	2.85E-09	1.79E-09	3.78E-10
225478	1.09E-05	5.94E-09	2.86E-09	1.62E-09	2.50E-10
226724	1.07E-05	6.04E-09	2.83E-09	1.71E-09	3.22E-10
227970	1.07E-05	5.99E-09	2.87E-09	1.73E-09	3.39E-10
229216	1.07E-05	5.87E-09	2.78E-09	1.60E-09	2.72E-10
230463	1.06E-05	5.89E-09	2.80E-09	1.75E-09	3.14E-10
231708	1.06E-05	5.90E-09	2.73E-09	1.76E-09	3.72E-10
232954	1.05E-05	5.83E-09	2.72E-09	1.76E-09	3.67E-10
234200	1.05E-05	5.86E-09	2.69E-09	1.54E-09	3.94E-10
235445	1.05E-05	5.80E-09	2.70E-09	1.58E-09	2.62E-10
236691	1.04E-05	5.76E-09	2.64E-09	1.58E-09	3.06E-10
237937	1.03E-05	5.69E-09	2.59E-09	1.60E-09	3.14E-10
239182	1.04E-05	5.67E-09	2.63E-09	1.54E-09	2.34E-10
240428	1.03E-05	5.58E-09	2.60E-09	1.62E-09	2.84E-10
241674	1.02E-05	5.62E-09	2.62E-09	1.47E-09	2.48E-10
242920	1.02E-05	5.65E-09	2.63E-09	1.56E-09	3.11E-10
244166	1.01E-05	5.55E-09	2.61E-09	1.57E-09	3.43E-10
245412	1.01E-05	5.52E-09	2.57E-09	1.56E-09	2.87E-10
246658	1.00E-05	5.50E-09	2.54E-09	1.53E-09	3.26E-10
247904	9.95E-06	5.43E-09	2.54E-09	1.56E-09	3.15E-10
249150	9.87E-06	5.37E-09	2.47E-09	1.52E-09	3.32E-10
250396	9.88E-06	5.39E-09	2.46E-09	1.44E-09	2.99E-10
251641	9.80E-06	5.29E-09	2.38E-09	1.49E-09	1.93E-10
252887	9.82E-06	5.21E-09	2.50E-09	1.50E-09	2.50E-10
254133	9.78E-06	5.27E-09	2.41E-09	1.53E-09	2.34E-10
255379	9.68E-06	5.35E-09	2.53E-09	1.58E-09	2.81E-10
256625	9.72E-06	5.31E-09	2.48E-09	1.48E-09	2.80E-10
257870	9.62E-06	5.22E-09	2.45E-09	1.51E-09	2.68E-10
259118	9.62E-06	5.21E-09	2.52E-09	1.56E-09	3.03E-10
260363	9.60E-06	5.17E-09	2.39E-09	1.48E-09	2.83E-10
261609	9.54E-06	5.17E-09	2.37E-09	1.43E-09	2.02E-10
262855	9.54E-06	5.18E-09	2.36E-09	1.42E-09	2.53E-10
264101	9.47E-06	5.12E-09	2.31E-09	1.53E-09	2.15E-10
265346	9.43E-06	5.01E-09	2.34E-09	1.48E-09	2.49E-10
266593	9.43E-06	5.07E-09	2.39E-09	1.53E-09	2.67E-10
267839	9.38E-06	4.98E-09	2.38E-09	1.42E-09	2.69E-10
269084	9.35E-06	5.02E-09	2.31E-09	1.43E-09	1.71E-10
270330	9.25E-06	5.06E-09	2.41E-09	1.46E-09	2.88E-10
271576	9.23E-06	5.01E-09	2.30E-09	1.44E-09	2.27E-10
272822	9.22E-06	4.92E-09	2.31E-09	1.50E-09	2.28E-10
274069	9.21E-06	4.94E-09	2.28E-09	1.49E-09	2.77E-10
275315	9.08E-06	4.89E-09	2.23E-09	1.44E-09	2.22E-10
276561	9.08E-06	4.79E-09	2.17E-09	1.37E-09	1.55E-10
277807	9.02E-06	4.98E-09	2.27E-09	1.52E-09	2.00E-10
279053	9.02E-06	4.79E-09	2.24E-09	1.47E-09	2.26E-10
280299	9.02E-06	4.91E-09	2.34E-09	1.51E-09	3.58E-10
281545	8.98E-06	4.87E-09	2.14E-09	1.45E-09	2.32E-10
282791	8.94E-06	4.88E-09	2.28E-09	1.46E-09	3.05E-10
284037	8.97E-06	4.85E-09	2.14E-09	1.35E-09	1.78E-10
285282	8.93E-06	4.83E-09	2.18E-09	1.39E-09	2.12E-10
286528	8.82E-06	4.74E-09	2.19E-09	1.32E-09	1.56E-10
287774	8.84E-06	4.72E-09	2.18E-09	1.33E-09	2.56E-10
289020	8.81E-06	4.79E-09	2.17E-09	1.39E-09	2.98E-10
290265	8.77E-06	4.74E-09	2.13E-09	1.41E-09	2.01E-10
291511	8.73E-06	4.69E-09	2.13E-09	1.35E-09	2.67E-10
292757	8.68E-06	4.67E-09	2.12E-09	1.45E-09	2.95E-10
294003	8.69E-06	4.72E-09	2.14E-09	1.34E-09	2.38E-10
295249	8.68E-06	4.75E-09	2.18E-09	1.40E-09	2.75E-10
296495	8.66E-06	4.68E-09	2.09E-09	1.29E-09	2.14E-10
297742	8.64E-06	4.65E-09	2.04E-09	1.32E-09	2.04E-10
298988	8.62E-06	4.63E-09	2.11E-09	1.32E-09	2.46E-10
300234	8.60E-06	4.61E-09	2.11E-09	1.38E-09	2.09E-10
301480	8.58E-06	4.67E-09	2.11E-09	1.34E-09	2.41E-10
302725	8.52E-06	4.59E-09	2.15E-09	1.41E-09	2.42E-10
303972	8.50E-06	4.58E-09	1.98E-09	1.27E-09	2.31E-10
305217	8.46E-06	4.61E-09	2.04E-09	1.31E-09	3.08E-10
306463	8.45E-06	4.58E-09	2.07E-09	1.39E-09	2.26E-10
307709	8.44E-06	4.58E-09	2.09E-09	1.41E-09	2.28E-10
308954	8.32E-06	4.55E-09	2.04E-09	1.32E-09	2.50E-10
310200	8.34E-06	4.54E-09	2.04E-09	1.33E-09	2.12E-10
311446	8.33E-06	4.43E-09	1.94E-09	1.22E-09	1.60E-10
312692	8.30E-06	4.58E-09	2.03E-09	1.31E-09	2.34E-10
313939	8.28E-06	4.41E-09	1.91E-09	1.26E-09	1.69E-10
315185	8.25E-06	4.52E-09	2.01E-09	1.34E-09	2.37E-10
316431	8.21E-06	4.49E-09	1.99E-09	1.26E-09	2.68E-10
317677	8.15E-06	4.50E-09	1.97E-09	1.34E-09	2.44E-10
318923	8.15E-06	4.49E-09	2.09E-09	1.37E-09	2.45E-10
320169	8.18E-06	4.37E-09	1.91E-09	1.33E-09	1.84E-10
321415	8.08E-06	4.25E-09	1.90E-09	1.21E-09	2.00E-10
322661	8.09E-06	4.27E-09	1.89E-09	1.32E-09	1.86E-10
323906	8.07E-06	4.26E-09	1.97E-09	1.17E-09	2.30E-10
325152	8.04E-06	4.21E-09	1.87E-09	1.21E-09	1.97E-10
326399	7.97E-06	4.11E-09	1.86E-09	1.18E-09	1.50E-10
327644	8.00E-06	4.07E-09	1.85E-09	1.18E-09	1.50E-10
328890	7.97E-06	4.08E-09	1.89E-09	1.14E-09	1.45E-10
330136	7.94E-06	4.10E-09	1.82E-09	1.18E-09	1.67E-10
331382	7.88E-06	4.04E-09	1.81E-09	1.09E-09	1.79E-10
332628	7.88E-06	3.96E-09	1.80E-09	1.21E-09	2.46E-10
333873	7.84E-06	3.90E-09	1.81E-09	1.24E-09	1.57E-10
335119	7.83E-06	3.87E-09	1.88E-09	1.14E-09	1.99E-10
336365	7.82E-06	3.91E-09	1.92E-09	1.16E-09	2.14E-10
337611	7.75E-06	3.73E-09	1.69E-09	1.08E-09	9.22E-11
338857	7.73E-06	3.83E-09	1.72E-09	1.14E-09	1.62E-10
340103	7.67E-06	3.81E-09	1.75E-09	1.16E-09	1.73E-10
341348	7.69E-06	3.84E-09	1.79E-09	1.23E-09	1.87E-10
342595	7.67E-06	3.95E-09	1.85E-09	1.19E-09	2.51E-10
343841	7.63E-06	3.89E-09	1.77E-09	1.13E-09	1.45E-10
345086	7.64E-06	3.96E-09	1.76E-09	1.13E-09	1.94E-10
346332	7.59E-06	3.98E-09	1.71E-09	1.14E-09	1.68E-10
347578	7.59E-06	3.96E-09	1.84E-09	1.22E-09	1.72E-10
348824	7.56E-06	4.03E-09	1.75E-09	1.16E-09	2.42E-10
350070	7.51E-06	3.96E-09	1.81E-09	1.17E-09	1.48E-10
351316	7.50E-06	3.86E-09	1.74E-09	1.06E-09	1.26E-10
352562	7.52E-06	3.90E-09	1.76E-09	1.15E-09	1.73E-10
353808	7.43E-06	3.87E-09	1.81E-09	1.17E-09	1.80E-10
355054	7.41E-06	3.91E-09	1.78E-09	1.13E-09	1.85E-10
356300	7.38E-06	3.90E-09	1.70E-09	1.11E-09	1.63E-10
357546	7.35E-06	3.85E-09	1.70E-09	1.15E-09	1.33E-10
358791	7.37E-06	3.85E-09	1.67E-09	1.15E-09	2.01E-10
360038	7.28E-06	3.84E-09	1.71E-09	1.15E-09	1.71E-10
361283	7.28E-06	3.90E-09	1.75E-09	1.12E-09	2.07E-10
362529	7.26E-06	3.90E-09	1.77E-09	1.19E-09	1.41E-10
363776	7.28E-06	3.91E-09	1.78E-09	1.16E-09	2.48E-10
365021	7.10E-06	3.83E-09	1.68E-09	1.11E-09	1.53E-10
366268	7.16E-06	3.89E-09	1.67E-09	1.11E-09	1.02E-10
367514	7.12E-06	3.91E-09	1.70E-09	1.22E-09	1.39E-10
368760	7.14E-06	3.88E-09	1.67E-09	1.14E-09	1.45E-10
370006	7.11E-06	3.84E-09	1.74E-09	1.12E-09	8.75E-11
371252	7.09E-06	3.88E-09	1.68E-09	1.13E-09	1.19E-10
372498	7.05E-06	3.86E-09	1.67E-09	1.08E-09	1.61E-10
373744	7.07E-06	3.91E-09	1.76E-09	1.16E-09	2.29E-10
374990	7.06E-06	3.79E-09	1.71E-09	1.05E-09	1.04E-10
376236	7.05E-06	3.92E-09	1.66E-09	1.17E-09	1.20E-10
377482	7.01E-06	3.93E-09	1.70E-09	1.14E-09	2.20E-10
378728	6.99E-06	3.79E-09	1.66E-09	1.05E-09	1.37E-10
379974	6.97E-06	3.73E-09	1.58E-09	1.12E-09	1.19E-10
381220	6.92E-06	3.81E-09	1.66E-09	1.18E-09	1.79E-10
382467	6.99E-06	3.87E-09	1.67E-09	1.09E-09	1.51E-10
383712	6.95E-06	3.85E-09	1.62E-09	1.04E-09	1.15E-10
384958	6.92E-06	3.90E-09	1.72E-09	1.14E-09	2.73E-10
386204	6.89E-06	3.87E-09	1.66E-09	1.09E-09	1.42E-10
387450	6.92E-06	3.87E-09	1.58E-09	1.03E-09	1.71E-10
388697	6.84E-06	3.86E-09	1.60E-09	1.18E-09	2.53E-10
389943	6.82E-06	3.80E-09	1.61E-09	1.15E-09	1.93E-10
391189	6.79E-06	3.85E-09	1.64E-09	1.07E-09	1.29E-10
392435	6.79E-06	3.81E-09	1.59E-09	1.12E-09	1.61E-10
393682	6.80E-06	3.81E-09	1.60E-09	1.13E-09	1.59E-10
394928	6.77E-06	3.81E-09	1.63E-09	1.08E-09	2.01E-10
396175	6.74E-06	3.83E-09	1.67E-09	1.09E-09	2.09E-10
397421	6.73E-06	3.82E-09	1.65E-09	1.07E-09	1.69E-10
398667	6.67E-06	3.73E-09	1.55E-09	9.96E-10	1.19E-10
399912	6.68E-06	3.84E-09	1.65E-09	1.09E-09	2.42E-10
401158	6.64E-06	3.69E-09	1.55E-09	1.03E-09	7.37E-11
402403	6.58E-06	3.75E-09	1.60E-09	1.03E-09	1.67E-10
403649	6.58E-06	3.73E-09	1.60E-09	1.03E-09	1.41E-10
404896	6.57E-06	3.77E-09	1.53E-09	1.04E-09	1.22E-10
